,ISBN,Book-Title,Book-Author,User-ID,Book-Rating
0,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,8529,10
1,2070516504,Le lion,Joseph Kessel,8529,8
2,2080701819,Les Confessions Tome 1,Jean Jacqu Rousseau,8529,4
3,2070401685,L'Ile des Gauchers,Alexandre Jardin,8529,7
4,157270120X,Nemesis (Cover to Cover Classics),Agatha Christie,8529,8
5,2895400644,J'Ã?Â©tais si timide que j'ai mordu la maÃ?Â®tresse,Minne,8529,9
6,0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,8529,6
7,2702426328,Le Vallon,Agatha Christie,8529,7
8,0918273838,Donald Duk: A Novel,Frank Chin,264892,6
9,0918273838,Donald Duk: A Novel,Frank Chin,253855,5
10,068482275X,AMERICAN KNEES,Shawn Wong,253855,7
11,0380732149,On the Occasion of My Last Afternoon,Kaye Gibbons,253855,3
12,0312954581,"The Essential Guide to Psychiatric Drugs : Includes The Most Recent Information On: Antidepressants, Tranquilizers and Antianxiety Drugs, Antipsychoti ... h More (Essential Guide to Psychiatric Drugs)",Jack M. Gorman,261105,7
13,1857881370,Way of the Leader: Applying the Principles of Sun Tzu and Confucius - Ancient,Donald A Krause,261105,8
14,3855025703,"EnzyklopÃ¤die der psychoaktiven Pflanzen. Botanik, Ethnopharmakologie und Anwendungen.",Christian RÃ¤tsch,261105,10
15,3257231199,Judiths Liebe (Diogenes Taschenbuch),Meir Shalev,261105,10
16,3522128001,Die unendliche Geschichte: Von A bis Z,Michael Ende,261105,9
17,3150080479,Arme Leute.,Fjodor Michailowitsch Dostojewski,261105,9
18,2290319872,Comment je suis devenu stupide,Martin Page,261105,6
19,3442760070,"WÃ?Â¼rdest du bitte endlich still sein, bitte.",Raymond Carver,261105,10
20,3466303796,Die etwas gelassenere Art sich durchzusetzen. Ein Selbstbehauptungstraining fÃ?Â¼r Frauen.,Barbara Berckhan,261105,8
21,3442541751,Russendisko.,Wladimir Kaminer,261105,4
22,3442723833,Das BlÃ?Â¼tenstaubzimmer.,Zoe Jenny,261105,7
23,3257230885,Small World.,Martin Suter,261105,10
24,3630620450,"Pizzeria Kamikaze. Der Busfahrer, der Gott sein wollte.",Etgar Keret,261105,8
25,3729606050,Heute keine Annahme von Streicheleinheiten,Gisela Widmer,261105,8
26,3499129744,Gebrochene Herzen oder Mein erster bis elfter Mord. ( neue frau).,Milena Moser,261105,6
27,3548364543,Mit Hunden sprechen.,Jan Fennell,261105,10
28,3760819567,Der Charme des Indiskreten: Eine kleine Geschichte des Klatsches,Klaus Thiele-Dohrmann,261105,8
29,2266102931,Fritna,GisÃ?Â¨le Halimi,261105,8
30,3805567871,Unkonventionelle Mittel in Der Krebstherapie: Pladoyer Fur Eine Offene Medizin,G. A. Nagel,261105,8
31,0385475020,I Hear a Symphony: African Americans Celebrate Love,Paula L. Woods,261105,10
32,883176778X,Alle case venie (Farfalle),Romana Petri,261105,10
33,0385314280,When Elephants Weep: The Emotional Lives of Animals,Jeffrey Moussaieff Masson,261105,9
34,3808003049,Inzest und Therapie. Ein ( system)therapeutisches Handbuch.,Terry S. Trepper,261105,10
35,3794520211,ErnÃ?Â¤hrung von Hund und Katze. Leitfaden fÃ?Â¼r TierÃ?Â¤rztinnen und TierÃ?Â¤rzte.,Linda P. Case,261105,10
36,0552996181,Behind the Scenes at the Museum,Kate Atkinson,261105,5
37,3518392387,Wilde Schafsjagd.,Haruki Murakami,261105,9
38,3466304466,"Die etwas intelligentere Art, sich gegen dumme SprÃ?Â¼che zu wehren. Selbstverteidigung mit Worten. Mit Trainingsprogramm.",Barbara Berckhan,261105,8
39,3257233418,Selige Witwen.,Ingrid Noll,261105,7
40,3806819904,Tibet Terrier. Auswahl. Haltung. Pflege. Erziehung.,Karin Biala-GauÃ?Â?,261105,8
41,3426616831,Die Farbe meines Gesichts. Lebensreise einer kenianischen Frau.,Miriam Kwalanda,261105,8
42,0440202043,Shell Seekers,Rosamunde Pilcher,261105,6
43,0140044531,Flush a Biography: A Biography,Virginia Woolf,261105,7
44,3596127610,Neon - NÃ?Â¤chte.,Sabine Deitmer,215225,8
45,3499224003,Game over.,Philip Kerr,215225,9
46,374661922X,Der Sterne TennisbÃ?Â¤lle.,Stephen Fry,215225,9
47,3150012570,Nora (Ein Puppenheim),Henrik Ibsen,215225,10
48,3426619644,Das Lied der Sirenen. Sonderausgabe.,Val McDermid,215225,9
49,3499133709,September,Rosamunde Pilcher,79680,6
50,3559254140,The Crucible.,Arthur Miller,79680,5
51,3404162404,Nichts wie ab nach Hollywood.,Alexandra Potter,79680,6
52,3499231573,Best of Also... Die besten Kolumnen aus 'Brigitte'.,Elke Heidenreich,99993,8
53,0373056435,"Best Is Yet To Come (Silhouette Desire, No. 643)",Diana Palmer,28591,9
54,0505524449,Highland Dream (Wink &amp; a Kiss),Tess Mallory,28591,8
55,0821767453,Sullivan (The Rock Creek Six),Linda Devlin,28591,9
56,0425197115,Shower of Stars (Berkley Sensation),Nancy Herkness,28591,10
57,0758203594,Wilde Thing,Janelle Denison,28591,10
58,0778320200,A Useful Affair,Stella Cameron,28591,6
59,0373093276,Almost Forever,Linda Howard,28591,8
60,0373765037,A Bachelor and a Baby  (The Mom Squad),Marie Ferrarella,28591,8
61,0451409256,Making Minty Malone,Isabel Wolff,28591,8
62,0345453409,Dying to Please,LINDA HOWARD,28591,10
63,031298460X,Complete Abandon,Cheryl Holt,28591,9
64,0440105749,Breathless Surrender,Kay Hooper,28591,7
65,0786006072,Beyond Desire (Arabesque),Gwynne Forster,28591,8
66,067100039X,To Marry a British Lord,Judith O'Brien,28591,9
67,0451191471,The Last Waltz (Signet Regency Romance),Mary Balogh,28591,8
68,0445407786,The Seventh Sinner,Barbara Mertz,28591,5
69,0671567705,White Hot,Carla Neggers,28591,5
70,0373764723,Expecting...And In Danger  (Dynasties:The Connellys),Eileen Wilks,28591,8
71,0821773127,Guilty Pleasures,Stella Cameron,28591,7
72,0352331194,The Actress (Black Lace Series),Vivienne Lafay,28591,9
73,0380809087,The Defiant One,Danelle Harmon,28591,7
74,0515118656,The Cove,Catherine Coulter,28591,8
75,0440235936,Reinventing Romeo,Connie Lane,28591,2
76,0060561661,Three Nights...,Debra Mullins,28591,10
77,0451406737,Call of Duty,Merline Lovelace,28591,8
78,0373092644,Midnight Sun #2 (Silhouette Special Edition),Lisa Jackson,28591,8
79,0373835523,Wish Giver,Mary Lynn Baxter,28591,3
80,0060527412,For the First Time,Kathryn Smith,28591,7
81,0060539836,Kill the Competition,Stephanie Bond,28591,7
82,1551664666,Deception,Christiane Heggan,28591,6
83,1551669412,Hot Shot,Charlotte Hughes,28591,10
84,0553444182,The Damaron Mark: The Warrior (Loveswept),Fayrene Preston,28591,7
85,0373440642,"His Bodyguard (Harlequin Love &amp; Laughter, No 64)",Lois Greiman,28591,8
86,0758204434,Almost a Gentleman,Pam Rosenthal,28591,10
87,0767913000,Fourplay: A Novel,Jane Moore,28591,7
88,0060974788,"If You Can't Live Without Me, Why Aren't You Dead Yet?!",Cynthia Heimel,28591,8
89,0505525275,The Loving Daylights,Lynsay Sands,28591,3
90,0743405951,Sweet Success,Susan Mallery,28591,8
91,1551663007,Autumn Awakening,Mary Lynn Baxter,28591,1
92,1551666871,In Hot Pursuit,Suzann Ledbetter,28591,10
93,1551664372,Pirate,Jayne Ann Krentz,28591,7
94,0345447409,Until Dark,MARIAH STEWART,28591,9
95,044661114X,Lone Rider,Lauren Bach,28591,7
96,0373054203,Enamored,Diana Palmer,28591,5
97,0758200862,Never Too Much,Lori Foster,28591,7
98,0451130529,The Sandalwood Fan,Diana Brown,28591,8
99,0446365335,The Wives of Bowie Stone,Maggie Osborne,28591,10
100,0312987277,Some Kind of Wonderful,Maureen Child,28591,7
101,0380654903,52 Pick-Up,Elmore Leonard,28591,7
102,0821772694,Cash (Rock Creek Six),Linda Devlin,28591,10
103,0451155815,The Would-Be Widow,Mary Jo Putney,28591,7
104,0373510276,"Art Of Deception (Language of Love, No 27)",Nora Roberts,28591,8
105,0316769487,The Catcher in the Rye,J.D. Salinger,28591,10
106,0060972122,The Mysteries of Pittsburgh,Michael Chabon,209817,10
107,0451452739,2001 A Space Odyssey,Arthur C. Clarke,209817,8
108,0380820846,Romancing Mister Bridgerton,Julia Quinn,209817,9
109,0679777547,The Club Dumas: A Novel,Arturo Perez-Reverte,209817,10
110,0440184622,Tai-Pan,JAMES CLAVELL,209817,10
111,0380789353,To Catch an Heiress,Julia Quinn,209817,10
112,1591295432,King of Summer,Wayne Wise,209817,10
113,0786915749,Dragons of Autumn Twilight (Dragonlance: Dragonlance Chronicles),Margaret Weis,135458,10
114,0060525185,A Wedding Story,Susan Kay Law,135458,9
115,0743422910,The Constant Gardener,John le Carre,135458,5
116,0679739793,Waterland,GRAHAM SWIFT,135458,5
117,0804120021,Out of Sight,CHERRY ADAIR,135458,7
118,0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,135458,5
119,0812580354,Calculating God,Robert J. Sawyer,135458,8
120,0743454510,Second Glance : A Novel,Jodi Picoult,135458,6
121,0440217563,Voyager,DIANA GABALDON,135458,10
122,0812551478,"Blood of the Fold (Sword of Truth, Book 3)",Terry Goodkind,135458,10
123,0060513640,One Night of Scandal,Teresa Medeiros,135458,5
124,0312203977,Another World,Pat Barker,135458,6
125,1594140782,Stagestruck: A Jubilee Showboat Mystery,Cynthia Thomason,135458,6
126,0345441133,Summer Island,KRISTIN HANNAH,135458,7
127,081257639X,"Faith of the Fallen (Sword of Truth, Book 6)",Terry Goodkind,135458,4
128,0425195139,Always the Bridesmaid,Whitney Lyles,135458,6
129,0399148248,Midnight Bayou,Nora Roberts,135458,8
130,0671035835,"Ghost Dance (Star Trek Voyager, No 20, Dark Matters Book Two of Three)",Christie Golden,135458,7
131,1884910459,The Art &amp; Craft of the Short Story,Rick Demarinis,135458,5
132,0553579908,"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin,135458,10
133,0671670034,SELFTALK SOLUTION,Shad Helmstetter,64241,10
134,0531068528,What's Black and White and Came to Visit?,Evan Levine,64241,7
135,1558500510,365 Tv-Free Activities You Can Do With Your Child,Steve Bennett,64241,8
136,0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,64241,10
137,0875797083,How to Pick a Family Flick,Chris Hicks,64241,8
138,0449911543,The Chosen (Ballantine Reader's Circle),CHAIM POTOK,64241,8
139,0883639335,"Great Rubber Stamping: Ideas, Tips and Techniques",Judy Ritchie,64241,8
140,0688012108,The White Stallion (Greenwillow Read-Alone Books),Elizabeth Shub,64241,8
141,0875790704,"Sara, Whenever I Hear Your Name",Jack Weyland,64241,8
142,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,64241,8
143,0671631985,Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann,64241,10
144,0553344269,"Is It Worth Dying for: A Self-Assessment Program to Make Stress Work for You, Not Against You","Robert S., M.D. Eliot",64241,7
145,0684856093,The 7 Habits Of Highly Effective Teens,Sean Covey,64241,10
146,0517704064,When Words Matter Most : Thoughtful Words and Deeds to Express Just the Right Thing at Just the RightTime,ROBYN FREEDMAN SPIZMAN,64241,10
147,1567312748,Getting Your Child to Sleep...&amp; Back to Sleep,Vicki Lansky,64241,8
148,0590483692,"Soccer Game! (Hello Reader! (DO NOT USE, please choose level and binding))",Grace MacCarone,64241,8
149,0671493868,DRAWING ON ARTIST,Jaroldeen Edwards,64241,10
150,0821772112,"Closer Than She Thinks (Zebra Book,)",Meryl Sawyer,98391,9
151,0765300486,Bloodtide,Melvin Burgess,98391,9
152,0312890567,"The White Dragon (In Fire Forged, Part 1)",Laura Resnick,98391,10
153,0758204582,Cereal Killer: A Savannah Reid Mystery (Savannah Reid Mysteries (Hardcover)),G. A. McKevett,98391,9
154,0374103836,The Eagle's Shadow: Why America Fascinates And Infuriates The World,Mark Hertsgaard,98391,8
155,0373791003,"Bordering On Obsession (Harlequin Blaze, 96)",Susan Kearney,98391,9
156,0670030147,A Second Legacy,Caroline Harvey,98391,9
157,0505525755,Aphrodite's Flame,Julie Kenner,98391,10
158,0345440099,"The Shifting Tide (Perry, Anne)",ANNE PERRY,98391,10
159,0451459296,Messiah Node,Lyda Morehouse,98391,9
160,0385335350,A Summer to Remember,Mary Balogh,98391,8
161,0373711484,"Married In Haste (Harlequin Superromance, 1148)",Roz Denny Fox,98391,8
162,0765302012,"Gods of Fire and Thunder (Book of the Gods Series, Book 5)",Fred Saberhagen,98391,8
163,0345449711,Blues in the Night,ROCHELLE KRICH,98391,9
164,0821773399,After the Rain,Karen White,98391,5
